CMDLINE python main.py
MEM 46.125000 1569653818.1871
MEM 46.125000 1569653818.2907
MEM 46.125000 1569653818.3954
MEM 46.125000 1569653818.4995
MEM 46.125000 1569653818.6037
MEM 46.125000 1569653818.7079
MEM 46.125000 1569653818.8120
MEM 46.125000 1569653818.9157
MEM 46.125000 1569653819.0194
MEM 46.125000 1569653819.1240
MEM 46.125000 1569653819.2277
MEM 46.125000 1569653819.3313
MEM 46.125000 1569653819.4355
MEM 46.125000 1569653819.5396
MEM 46.125000 1569653819.6443
MEM 46.125000 1569653819.7475
MEM 46.125000 1569653819.8512
MEM 46.125000 1569653819.9553
MEM 46.125000 1569653820.0595
MEM 46.125000 1569653820.1636
MEM 46.125000 1569653820.2673
MEM 46.125000 1569653820.3709
MEM 46.125000 1569653820.4746
MEM 46.125000 1569653820.5793
MEM 46.125000 1569653820.6839
MEM 46.125000 1569653820.7876
MEM 46.125000 1569653820.8913
MEM 46.125000 1569653820.9959
MEM 46.125000 1569653821.0996
MEM 46.125000 1569653821.2037
MEM 46.125000 1569653821.3069
MEM 46.125000 1569653821.4111
MEM 46.125000 1569653821.5147
MEM 46.125000 1569653821.6184
MEM 46.125000 1569653821.7221
MEM 46.125000 1569653821.8257
MEM 46.125000 1569653821.9299
MEM 46.125000 1569653822.0341
MEM 46.125000 1569653822.1372
MEM 46.125000 1569653822.2423
MEM 46.125000 1569653822.3465
MEM 46.125000 1569653822.4512
MEM 46.125000 1569653822.5549
MEM 46.125000 1569653822.6590
MEM 46.125000 1569653822.7632
MEM 46.125000 1569653822.8668
MEM 46.125000 1569653822.9710
MEM 46.125000 1569653823.0746
MEM 46.125000 1569653823.1788
MEM 46.125000 1569653823.2830
MEM 46.125000 1569653823.3861
MEM 46.125000 1569653823.4893
MEM 46.125000 1569653823.5930
MEM 46.125000 1569653823.6976
MEM 46.125000 1569653823.8018
MEM 46.125000 1569653823.9050
MEM 46.125000 1569653824.0096
MEM 46.125000 1569653824.1138
MEM 46.125000 1569653824.2174
MEM 46.125000 1569653824.3211
MEM 46.125000 1569653824.4243
MEM 46.125000 1569653824.5284
MEM 46.125000 1569653824.6326
MEM 46.125000 1569653824.7363
MEM 46.125000 1569653824.8399
MEM 46.125000 1569653824.9446
MEM 46.125000 1569653825.0482
MEM 46.125000 1569653825.1524
MEM 46.125000 1569653825.2565
MEM 46.125000 1569653825.3607
MEM 46.125000 1569653825.4668
MEM 46.125000 1569653825.5710
MEM 46.125000 1569653825.6747
MEM 46.125000 1569653825.7793
MEM 46.125000 1569653825.8830
MEM 46.125000 1569653825.9867
MEM 46.125000 1569653826.0908
MEM 46.125000 1569653826.1945
MEM 46.125000 1569653826.2986
MEM 46.125000 1569653826.4033
MEM 46.125000 1569653826.5070
MEM 46.125000 1569653826.6116
MEM 46.125000 1569653826.7158
MEM 46.125000 1569653826.8200
MEM 46.125000 1569653826.9236
MEM 46.125000 1569653827.0273
MEM 46.125000 1569653827.1310
MEM 46.125000 1569653827.2351
MEM 46.125000 1569653827.3388
MEM 46.125000 1569653827.4429
MEM 46.125000 1569653827.5471
MEM 46.125000 1569653827.6513
MEM 46.125000 1569653827.7554
MEM 46.125000 1569653827.8591
MEM 46.125000 1569653827.9642
MEM 46.125000 1569653828.0684
MEM 46.125000 1569653828.1726
MEM 46.125000 1569653828.2762
MEM 46.125000 1569653828.3804
MEM 46.125000 1569653828.4845
MEM 46.125000 1569653828.5877
MEM 46.125000 1569653828.6918
MEM 46.125000 1569653828.7960
MEM 46.125000 1569653828.8997
MEM 46.125000 1569653829.0038
MEM 46.125000 1569653829.1075
MEM 46.125000 1569653829.2112
MEM 46.125000 1569653829.3148
MEM 46.125000 1569653829.4185
MEM 46.125000 1569653829.5227
MEM 46.125000 1569653829.6263
MEM 46.125000 1569653829.7300
MEM 46.125000 1569653829.8336
MEM 46.125000 1569653829.9368
MEM 46.125000 1569653830.0410
MEM 46.125000 1569653830.1456
MEM 46.125000 1569653830.2493
MEM 46.125000 1569653830.3529
MEM 46.125000 1569653830.4571
MEM 46.125000 1569653830.5652
MEM 46.125000 1569653830.6694
MEM 46.125000 1569653830.7736
MEM 46.125000 1569653830.8772
MEM 46.125000 1569653830.9814
MEM 46.125000 1569653831.0851
MEM 46.125000 1569653831.1887
MEM 46.125000 1569653831.2924
MEM 46.125000 1569653831.3970
MEM 46.125000 1569653831.5017
MEM 46.125000 1569653831.6053
MEM 46.125000 1569653831.7095
MEM 46.125000 1569653831.8137
MEM 46.125000 1569653831.9178
MEM 46.125000 1569653832.0220
MEM 46.125000 1569653832.1261
MEM 46.125000 1569653832.2303
MEM 46.125000 1569653832.3340
MEM 46.125000 1569653832.4381
MEM 46.125000 1569653832.5428
MEM 46.125000 1569653832.6469
MEM 46.125000 1569653832.7511
MEM 46.125000 1569653832.8548
MEM 46.125000 1569653832.9584
MEM 46.125000 1569653833.0628
MEM 46.125000 1569653833.1670
MEM 46.125000 1569653833.2712
MEM 46.125000 1569653833.3753
MEM 46.125000 1569653833.4790
MEM 46.125000 1569653833.5836
MEM 46.125000 1569653833.6873
MEM 46.125000 1569653833.7909
MEM 46.125000 1569653833.8946
MEM 46.125000 1569653833.9983
MEM 46.125000 1569653834.1029
MEM 46.125000 1569653834.2061
MEM 46.125000 1569653834.3098
MEM 46.125000 1569653834.4134
MEM 46.125000 1569653834.5166
MEM 46.125000 1569653834.6213
MEM 46.125000 1569653834.7249
MEM 46.125000 1569653834.8296
MEM 46.125000 1569653834.9338
MEM 46.125000 1569653835.0369
MEM 46.125000 1569653835.1406
MEM 46.125000 1569653835.2447
MEM 46.125000 1569653835.3489
MEM 46.125000 1569653835.4525
MEM 46.125000 1569653835.5562
MEM 46.125000 1569653835.6609
MEM 46.125000 1569653835.7650
